from_stop_id,from_stop_name,to_stop_id,to_stop_name,route_id,route_short_name,route_long_name,mean_travel_time_min
0200L1-BALBUENA,Balbuena,0200L1-PTOAEREO,Boulevard Puerto Aéreo,CMX0200L1,1,Pantitlán - Observatorio,1.5333333333333334
0200L1-BALBUENA,Balbuena,0200L1_MOCTEZUMA,Moctezuma,CMX0200L1,1,Pantitlán - Observatorio,1.6333333333333333
0200L1-BALDERAS,Balderas,0200L1-CUAUHTEMOC,Cuauhtémoc,CMX0200L1,1,Pantitlán - Observatorio,1.0833333333333333
0200L1-BALDERAS,Balderas,0200L1-SALTODELAGUA,Salto del Agua,CMX0200L1,1,Pantitlán - Observatorio,1.2666666666666666
0200L1-CANDELARIA,Candelaria,0200L1-MERCED,Merced,CMX0200L1,1,Pantitlán - Observatorio,1.6833333333333333
0200L1-CANDELARIA,Candelaria,0200L1-SANLAZARO,San Lázaro,CMX0200L1,1,Pantitlán - Observatorio,2.066666666666667
0200L1-CHAPULTEPEC,Chapultepec ,0200L1-JUANACATLAN,Juanacatlán,CMX0200L1,1,Pantitlán - Observatorio,2.2
0200L1-CHAPULTEPEC,Chapultepec ,0200L1-SEVILLA,Sevilla,CMX0200L1,1,Pantitlán - Observatorio,1.1166666666666667
0200L1-CUAUHTEMOC,Cuauhtémoc,0200L1-BALDERAS,Balderas,CMX0200L1,1,Pantitlán - Observatorio,1.0833333333333333
0200L1-CUAUHTEMOC,Cuauhtémoc,0200L1-INSURGENTES,Insurgentes,CMX0200L1,1,Pantitlán - Observatorio,1.85
0200L1-GOMEZFARIAS,Gómez Farías,0200L1-PTOAEREO,Boulevard Puerto Aéreo,CMX0200L1,1,Pantitlán - Observatorio,1.45
0200L1-GOMEZFARIAS,Gómez Farías,0200L1-ZARAGOZA,Zaragoza,CMX0200L1,1,Pantitlán - Observatorio,1.9
0200L1-INSURGENTES,Insurgentes,0200L1-CUAUHTEMOC,Cuauhtémoc,CMX0200L1,1,Pantitlán - Observatorio,1.85
0200L1-INSURGENTES,Insurgentes,0200L1-SEVILLA,Sevilla,CMX0200L1,1,Pantitlán - Observatorio,1.65
0200L1-ISABELLACA,Isabel la Católica,0200L1-PINOSUAREZ,Pino Suárez,CMX0200L1,1,Pantitlán - Observatorio,1.0666666666666667
0200L1-ISABELLACA,Isabel la Católica,0200L1-SALTODELAGUA,Salto del Agua,CMX0200L1,1,Pantitlán - Observatorio,1.15
0200L1-JUANACATLAN,Juanacatlán,0200L1-CHAPULTEPEC,Chapultepec ,CMX0200L1,1,Pantitlán - Observatorio,2.2
0200L1-JUANACATLAN,Juanacatlán,0200L1-TACUBAYA,Tacubaya,CMX0200L1,1,Pantitlán - Observatorio,2.566666666666667
0200L1-MERCED,Merced,0200L1-CANDELARIA,Candelaria,CMX0200L1,1,Pantitlán - Observatorio,1.6833333333333333
0200L1-MERCED,Merced,0200L1-PINOSUAREZ,Pino Suárez,CMX0200L1,1,Pantitlán - Observatorio,1.6
0200L1-OBSERVATORIO,Observatorio,0200L1-TACUBAYA,Tacubaya,CMX0200L1,1,Pantitlán - Observatorio,2.8333333333333335
0200L1-PANTITLAN,Pantitlán,0200L1-ZARAGOZA,Zaragoza,CMX0200L1,1,Pantitlán - Observatorio,2.8
0200L1-PINOSUAREZ,Pino Suárez,0200L1-ISABELLACA,Isabel la Católica,CMX0200L1,1,Pantitlán - Observatorio,1.0666666666666667
0200L1-PINOSUAREZ,Pino Suárez,0200L1-MERCED,Merced,CMX0200L1,1,Pantitlán - Observatorio,1.6
0200L1-PTOAEREO,Boulevard Puerto Aéreo,0200L1-BALBUENA,Balbuena,CMX0200L1,1,Pantitlán - Observatorio,1.5333333333333334
0200L1-PTOAEREO,Boulevard Puerto Aéreo,0200L1-GOMEZFARIAS,Gómez Farías,CMX0200L1,1,Pantitlán - Observatorio,1.45
0200L1-SALTODELAGUA,Salto del Agua,0200L1-BALDERAS,Balderas,CMX0200L1,1,Pantitlán - Observatorio,1.2666666666666666
0200L1-SALTODELAGUA,Salto del Agua,0200L1-ISABELLACA,Isabel la Católica,CMX0200L1,1,Pantitlán - Observatorio,1.15
0200L1-SANLAZARO,San Lázaro,0200L1-CANDELARIA,Candelaria,CMX0200L1,1,Pantitlán - Observatorio,2.066666666666667
0200L1-SANLAZARO,San Lázaro,0200L1_MOCTEZUMA,Moctezuma,CMX0200L1,1,Pantitlán - Observatorio,1.1833333333333333
0200L1-SEVILLA,Sevilla,0200L1-CHAPULTEPEC,Chapultepec ,CMX0200L1,1,Pantitlán - Observatorio,1.1166666666666667
0200L1-SEVILLA,Sevilla,0200L1-INSURGENTES,Insurgentes,CMX0200L1,1,Pantitlán - Observatorio,1.65
0200L1-TACUBAYA,Tacubaya,0200L1-JUANACATLAN,Juanacatlán,CMX0200L1,1,Pantitlán - Observatorio,2.566666666666667
0200L1-TACUBAYA,Tacubaya,0200L1-OBSERVATORIO,Observatorio,CMX0200L1,1,Pantitlán - Observatorio,2.8333333333333335
0200L1-ZARAGOZA,Zaragoza,0200L1-GOMEZFARIAS,Gómez Farías,CMX0200L1,1,Pantitlán - Observatorio,1.9
0200L1-ZARAGOZA,Zaragoza,0200L1-PANTITLAN,Pantitlán,CMX0200L1,1,Pantitlán - Observatorio,2.8
0200L1_MOCTEZUMA,Moctezuma,0200L1-BALBUENA,Balbuena,CMX0200L1,1,Pantitlán - Observatorio,1.6333333333333333
0200L1_MOCTEZUMA,Moctezuma,0200L1-SANLAZARO,San Lázaro,CMX0200L1,1,Pantitlán - Observatorio,1.1833333333333333
0200L2-ALLENDE,Allende,0200L2-BELLASARTES,Bellas Artes,CMX0200L2,2,Cuatro Caminos - Tasqueña,0.9333333333333333
0200L2-ALLENDE,Allende,0200L2-ZOCALO,Zócalo,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.3833333333333333
0200L2-BELLASARTES,Bellas Artes,0200L2-ALLENDE,Allende,CMX0200L2,2,Cuatro Caminos - Tasqueña,0.9333333333333333
0200L2-BELLASARTES,Bellas Artes,0200L2-HIDALGO,Hidalgo,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.1166666666666667
0200L2-CHABACANO,Chabacano,0200L2-SANANTONIO,San Antonio Abad,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4166666666666667
0200L2-CHABACANO,Chabacano,0200L2-VIADUCTO,Viaducto,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.7166666666666666
0200L2-COLMILITAR,Colegio Militar,0200L2-NORMAL,Normal,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.3333333333333333
0200L2-COLMILITAR,Colegio Militar,0200L2-POPOTLA,Popotla,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.05
0200L2-CUATROCAMIN,Cuatro Caminos,0200L2-PANTEONES,Panteones,CMX0200L2,2,Cuatro Caminos - Tasqueña,3.316666666666667
0200L2-CUITLAHUAC,Cuitláhuac,0200L2-POPOTLA,Popotla,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4666666666666666
0200L2-CUITLAHUAC,Cuitláhuac,0200L2-TACUBA,Tacuba,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4
0200L2-ERMITA,Ermita,0200L2-GRALANAYA,General Anaya,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.8333333333333333
0200L2-ERMITA,Ermita,0200L2-PORTALES,Portales,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.65
0200L2-GRALANAYA,General Anaya,0200L2-ERMITA,Ermita,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.8333333333333333
0200L2-GRALANAYA,General Anaya,0200L2-TASQUENA,Tasqueña,CMX0200L2,2,Cuatro Caminos - Tasqueña,2.783333333333333
0200L2-HIDALGO,Hidalgo,0200L2-BELLASARTES,Bellas Artes,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.1166666666666667
0200L2-HIDALGO,Hidalgo,0200L2-REVOLUCION,Revolución,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4
0200L2-NATIVITAS,Nativitas,0200L2-PORTALES,Portales,CMX0200L2,2,Cuatro Caminos - Tasqueña,2.1
0200L2-NATIVITAS,Nativitas,0200L2-VILLADECORT,Villa de Cortés,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.55
0200L2-NORMAL,Normal,0200L2-COLMILITAR,Colegio Militar,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.3333333333333333
0200L2-NORMAL,Normal,0200L2-SANCOSME,San Cosme,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4
0200L2-PANTEONES,Panteones,0200L2-CUATROCAMIN,Cuatro Caminos,CMX0200L2,2,Cuatro Caminos - Tasqueña,3.316666666666667
0200L2-PANTEONES,Panteones,0200L2-TACUBA,Tacuba,CMX0200L2,2,Cuatro Caminos - Tasqueña,2.9166666666666665
0200L2-PINOSUAREZ,Pino Suárez,0200L2-SANANTONIO,San Antonio Abad,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.8
0200L2-PINOSUAREZ,Pino Suárez,0200L2-ZOCALO,Zócalo,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.6666666666666667
0200L2-POPOTLA,Popotla,0200L2-COLMILITAR,Colegio Militar,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.05
0200L2-POPOTLA,Popotla,0200L2-CUITLAHUAC,Cuitláhuac,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4666666666666666
0200L2-PORTALES,Portales,0200L2-ERMITA,Ermita,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.65
0200L2-PORTALES,Portales,0200L2-NATIVITAS,Nativitas,CMX0200L2,2,Cuatro Caminos - Tasqueña,2.1
0200L2-REVOLUCION,Revolución,0200L2-HIDALGO,Hidalgo,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4
0200L2-REVOLUCION,Revolución,0200L2-SANCOSME,San Cosme,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.3666666666666667
0200L2-SANANTONIO,San Antonio Abad,0200L2-CHABACANO,Chabacano,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4166666666666667
0200L2-SANANTONIO,San Antonio Abad,0200L2-PINOSUAREZ,Pino Suárez,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.8
0200L2-SANCOSME,San Cosme,0200L2-NORMAL,Normal,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4
0200L2-SANCOSME,San Cosme,0200L2-REVOLUCION,Revolución,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.3666666666666667
0200L2-TACUBA,Tacuba,0200L2-CUITLAHUAC,Cuitláhuac,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.4
0200L2-TACUBA,Tacuba,0200L2-PANTEONES,Panteones,CMX0200L2,2,Cuatro Caminos - Tasqueña,2.9166666666666665
0200L2-TASQUENA,Tasqueña,0200L2-GRALANAYA,General Anaya,CMX0200L2,2,Cuatro Caminos - Tasqueña,2.783333333333333
0200L2-VIADUCTO,Viaducto,0200L2-CHABACANO,Chabacano,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.7166666666666666
0200L2-VIADUCTO,Viaducto,0200L2-XOLA,Xola,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.1666666666666667
0200L2-VILLADECORT,Villa de Cortés,0200L2-NATIVITAS,Nativitas,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.55
0200L2-VILLADECORT,Villa de Cortés,0200L2-XOLA,Xola,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.5833333333333333
0200L2-XOLA,Xola,0200L2-VIADUCTO,Viaducto,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.1666666666666667
0200L2-XOLA,Xola,0200L2-VILLADECORT,Villa de Cortés,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.5833333333333333
0200L2-ZOCALO,Zócalo,0200L2-ALLENDE,Allende,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.3833333333333333
0200L2-ZOCALO,Zócalo,0200L2-PINOSUAREZ,Pino Suárez,CMX0200L2,2,Cuatro Caminos - Tasqueña,1.6666666666666667
0200L3-BALDERAS,Balderas,0200L3-JUAREZ,Juárez,CMX0200L3,3,Indios verdes - Universidad,1.4
0200L3-BALDERAS,Balderas,0200L3-NINOSHEROES,Niños Héroes y  Poder Judicial CDMX,CMX0200L3,3,Indios verdes - Universidad,1.4333333333333333
0200L3-CENTROMEDICO,Centro Médico,0200L3-ETIOPIA,Etiopía y Plaza de la Transparencia,CMX0200L3,3,Indios verdes - Universidad,2.4
0200L3-CENTROMEDICO,Centro Médico,0200L3-HOSPITALGRAL,Hospital General,CMX0200L3,3,Indios verdes - Universidad,1.3666666666666667
0200L3-COPILCO,Copilco,0200L3-MAQ,Miguel Ángel de Quevedo,CMX0200L3,3,Indios verdes - Universidad,2.7
0200L3-COPILCO,Copilco,0200L3-UNIVERSIDAD,Universidad,CMX0200L3,3,Indios verdes - Universidad,2.6333333333333333
0200L3-COYOACAN,Coyoacán,0200L3-VIVEROS,Viveros y  Derechos Humanos,CMX0200L3,3,Indios verdes - Universidad,1.9
0200L3-COYOACAN,Coyoacán,0200L3-ZAPATA,Zapata,CMX0200L3,3,Indios verdes - Universidad,2.3333333333333335
0200L3-DIVISIONNTE,División del Norte,0200L3-EUGENIA,Eugenia,CMX0200L3,3,Indios verdes - Universidad,1.4833333333333334
0200L3-DIVISIONNTE,División del Norte,0200L3-ZAPATA,Zapata,CMX0200L3,3,Indios verdes - Universidad,1.8833333333333333
0200L3-DTVO18MARZO,Deportivo 18 de Marzo,0200L3-INDIOSVERD,Indios Verdes,CMX0200L3,3,Indios verdes - Universidad,2.4166666666666665
0200L3-DTVO18MARZO,Deportivo 18 de Marzo,0200L3-POTRERO,Potrero,CMX0200L3,3,Indios verdes - Universidad,2.033333333333333
0200L3-ETIOPIA,Etiopía y Plaza de la Transparencia,0200L3-CENTROMEDICO,Centro Médico,CMX0200L3,3,Indios verdes - Universidad,2.4
0200L3-ETIOPIA,Etiopía y Plaza de la Transparencia,0200L3-EUGENIA,Eugenia,CMX0200L3,3,Indios verdes - Universidad,1.9833333333333334
0200L3-EUGENIA,Eugenia,0200L3-DIVISIONNTE,División del Norte,CMX0200L3,3,Indios verdes - Universidad,1.4833333333333334
0200L3-EUGENIA,Eugenia,0200L3-ETIOPIA,Etiopía y Plaza de la Transparencia,CMX0200L3,3,Indios verdes - Universidad,1.9833333333333334
0200L3-GUERRERO,Guerrero,0200L3-HIDALGO,Hidalgo,CMX0200L3,3,Indios verdes - Universidad,1.5166666666666666
0200L3-GUERRERO,Guerrero,0200L3-TLATELOLCO,Tlatelolco,CMX0200L3,3,Indios verdes - Universidad,2.1333333333333333
0200L3-HIDALGO,Hidalgo,0200L3-GUERRERO,Guerrero,CMX0200L3,3,Indios verdes - Universidad,1.5166666666666666
0200L3-HIDALGO,Hidalgo,0200L3-JUAREZ,Juárez,CMX0200L3,3,Indios verdes - Universidad,0.85
0200L3-HOSPITALGRAL,Hospital General,0200L3-CENTROMEDICO,Centro Médico,CMX0200L3,3,Indios verdes - Universidad,1.3666666666666667
0200L3-HOSPITALGRAL,Hospital General,0200L3-NINOSHEROES,Niños Héroes y  Poder Judicial CDMX,CMX0200L3,3,Indios verdes - Universidad,1.4166666666666667
0200L3-INDIOSVERD,Indios Verdes,0200L3-DTVO18MARZO,Deportivo 18 de Marzo,CMX0200L3,3,Indios verdes - Universidad,2.4166666666666665
0200L3-JUAREZ,Juárez,0200L3-BALDERAS,Balderas,CMX0200L3,3,Indios verdes - Universidad,1.4
0200L3-JUAREZ,Juárez,0200L3-HIDALGO,Hidalgo,CMX0200L3,3,Indios verdes - Universidad,0.85
